Name,Categories
<trait>_xp_gain_factor,naval;country;army
module_<equipmentmodule>_design_cost_factor,naval;country;army
trait_<trait>_xp_gain_factor,naval;country;army
unit_<unit>_design_cost_factor,naval;country;army
<building>_max_level_terrain_limit,country
<combattactic>_preferred_weight_factor,country
<doctrine>_mastery_gain_factor,country
<doctrine>_track_mastery_gain_factor,country
<equipment>_design_cost_factor,country
<ideacategory>_category_type_cost_factor,country
<ideagroup>_cost_factor,country
<modifierstat>_factor,country;state
<modifierstatvalue>_value_factor,country;state
<specialproject>_speed_factor,country;state
<technology>_cost_factor,country
country_resource_<resource>,country
country_resource_cost_<resource>,country
experience_gain_<unit>_combat_factor,naval;country
experience_gain_<unit>_mission_factor,naval;country
experience_gain_<unit>_training_factor,naval;country
local_resources_<resource>_factor,country
production_cost_<building>_factor,country
production_speed_<building>_factor,country
repair_speed_<building>_factor,country
<operation>_cost,intelligence_agency
<operation>_outcome,intelligence_agency
<operation>_risk,intelligence_agency
production_cost_max_<navalequipment>,naval
<ideology>_acceptance,politics
<ideology>_drift,politics
<ideology>_drift_from_guarantees,politics
state_<building>_max_level_terrain_limit,state
state_production_speed_<building>_factor,state
state_repair_speed_<building>_factor,state
state_resource_<resource>,state
state_resource_cost_<resource>,state
state_resources_<resource>_factor,state
temporary_state_resource_<resource>,state
