Name,Categories
annex_cost_factor,peace;aggressive
army_armor_attack_factor,army;aggressive
army_armor_speed_factor,army;aggressive
army_artillery_attack_factor,army;aggressive
army_attack_against_major_factor,army;aggressive
army_attack_against_minor_factor,army;aggressive
army_attack_factor,army;aggressive
army_claim_attack_factor,army;aggressive
army_core_attack_factor,army;aggressive
army_infantry_attack_factor,army;aggressive
army_morale,army;defensive;aggressive
army_morale_factor,army;defensive;aggressive
army_non_core_attack_factor,army;aggressive
army_org,army;defensive;aggressive
army_org_factor,army;defensive;aggressive
attrition,army;defensive;aggressive
attrition_for_controller,army;defensive;aggressive
breakthrough_factor,army;aggressive
cannot_retreat_while_attacking,army;aggressive
carrier_capacity_penalty_reduction,naval;unit_leader;aggressive
carrier_sortie_hours_delay,naval;unit_leader;aggressive
carrier_traffic,naval;unit_leader;aggressive
cavalry_attack_factor,army;aggressive
combat_width_factor,army;aggressive
convoy_raiding_efficiency_factor,naval;unit_leader;aggressive
coordination_bonus,army;aggressive
decryption,country;aggressive
decryption_factor,country;aggressive
enemy_attrition,state;army;defensive;aggressive
enemy_declare_war_tension,country;aggressive
enemy_justify_war_goal_time,country;aggressive
fighter_sortie_efficiency,naval;unit_leader;aggressive
ground_attack,air;aggressive
ground_attack_factor,air;aggressive
heat_attrition,army;aggressive
heat_attrition_factor,army;aggressive
justify_war_goal_time,country;aggressive
justify_war_goal_when_in_major_war_time,country;aggressive
land_night_attack,army;aggressive
max_planning,army;aggressive
max_planning_factor,army;aggressive
max_training,army;aggressive
mechanized_attack_factor,army;aggressive
motorized_attack_factor,army;aggressive
naval_critical_score_chance_factor,naval;unit_leader;aggressive
naval_critical_score_chance_factor_against,naval;unit_leader;aggressive
naval_damage_factor,naval;unit_leader;aggressive
naval_enemy_fleet_size_ratio_penalty_factor,naval;unit_leader;aggressive
naval_enemy_positioning_in_initial_attack,naval;unit_leader;aggressive
naval_has_potf_in_combat_attack,naval;unit_leader;aggressive
naval_has_potf_in_combat_defense,naval;unit_leader;aggressive
naval_heavy_gun_hit_chance_factor,naval;unit_leader;aggressive
naval_hit_chance,naval;unit_leader;aggressive
naval_invasion_planning_bonus_speed,army;aggressive
naval_light_gun_hit_chance_factor,naval;unit_leader;aggressive
naval_night_attack,naval;aggressive
naval_strike,naval;unit_leader;aggressive
naval_supply_consumption_factor,naval;defensive;aggressive
naval_torpedo_cooldown_factor,naval;unit_leader;aggressive
naval_torpedo_hit_chance_factor,naval;unit_leader;aggressive
naval_torpedo_screen_penetration_factor,naval;unit_leader;aggressive
navy_capital_ship_attack_factor,naval;unit_leader;aggressive
navy_capital_ship_attack_factor_against,naval;aggressive
navy_carrier_air_agility_factor,naval;unit_leader;aggressive
navy_carrier_air_attack_factor,naval;unit_leader;aggressive
navy_carrier_air_targetting_factor,naval;unit_leader;aggressive
navy_screen_attack_factor,naval;unit_leader;aggressive
navy_screen_attack_factor_against,naval;aggressive
navy_submarine_attack_factor,naval;unit_leader;aggressive
navy_submarine_attack_factor_against,naval;aggressive
no_supply_grace,army;aggressive
offence,army;aggressive
org_loss_when_moving,army;aggressive
out_of_supply_factor,army;aggressive
planning_decay_rate_factor,army;aggressive
planning_speed,army;aggressive
pocket_penalty,army;aggressive
port_strike,naval;unit_leader;aggressive
rocket_attack_factor,army;aggressive
sortie_efficiency,naval;unit_leader;aggressive
special_forces_attack_factor,army;aggressive
special_forces_no_supply_grace,army;aggressive
special_forces_out_of_supply_factor,army;aggressive
strike_force_movement_org_loss,naval;unit_leader;aggressive
submarine_attack,naval;unit_leader;aggressive
supply_combat_penalties_on_core_factor,army;aggressive
supply_consumption_factor,army;defensive;aggressive
training_time_factor,army;aggressive
winter_attrition,army;aggressive
winter_attrition_factor,army;aggressive
ai_badass_factor,ai
ai_call_ally_desire_factor,ai
ai_desired_divisions_factor,ai
ai_focus_aggressive_factor,ai
ai_focus_aviation_factor,ai
ai_focus_defense_factor,ai
ai_focus_military_advancements_factor,ai
ai_focus_military_equipment_factor,ai
ai_focus_naval_air_factor,ai
ai_focus_naval_factor,ai
ai_focus_peaceful_factor,ai
ai_focus_war_production_factor,ai
ai_get_ally_desire_factor,ai
ai_join_ally_desire_factor,ai
ai_license_acceptance,ai
ace_effectiveness_factor,air
air_accidents,air
air_accidents_factor,air
air_ace_bonuses_factor,air
air_ace_generation_chance_factor,air
air_advisor_cost_factor,air
air_agility_factor,air
air_attack_factor,air
air_bombing_targetting,air
air_carrier_night_penalty_reduction_factor,air
air_cas_efficiency,air
air_cas_present_factor,air
air_close_air_support_org_damage_factor,air
air_defence_factor,air
air_detection,air
air_escort_efficiency,air
air_fuel_consumption_factor,air
air_home_defence_factor,air
air_intercept_efficiency,air
air_interception_detect_factor,air
air_invasion_division_cap,air
air_invasion_preparation,air;unit_leader
air_manpower_requirement_factor,air
air_maximum_speed_factor,air
air_mission_efficiency,air
air_mission_xp_gain_factor,air
air_nav_efficiency,air
air_night_penalty,air
air_power_projection_factor,air
air_range_factor,air
air_strategic_bomber_bombing_factor,air
air_strategic_bomber_defence_factor,air
air_strategic_bomber_night_penalty,air
air_superiority_detect_factor,air
air_superiority_efficiency,air
air_training_xp_gain_factor,air
air_untrained_pilots_penalty_factor,air
air_weather_penalty,air
